Kischova;M
Čechova;M
Obytná; 
Stará čtvrť; 
Šolcova;M
Sněžná; 
Krameriova;M
Lorišova;M
Harantova;M
Opletalova;M
Dušní; 
Obecní; 
Podlesní; 
Poštulkova;M
Engelmüllerova;M
Šachetní; 
Kořenského;M
Stromského;M
Sodná; 
Velkostranní; 
Kounicova;M
Okrajní; 
Soví; 
Františka Čechury; 
Švermova;M
Rudná; 
Knížecí; 
Zajícova;M
Syllabova;M
Turgeněvova;M
Vinohrad; 
Žofie Podlipské; 
Škroupova;M
Zákrejsova;M
Chleborádova;M
Žalmanova;M
Závadova;M
Dolasova;M
Kozlůvka; 
Perunova;M
Vlčkova;M
Kanczuckého;M
Klášterského;M
Bohumíra Dvorského;M
Úvozní; 
Kotkova;M
Viničná; 
Velká; 
Župní; 
Vrchlického;M
Sestupná; 
Lechowiczova;M
Zátiší; 
Schwaigrova;M
Lipka; 
Musorgského;M
Thomayerova;M
Lassallova;M
Srázná; 
Koněvova;M
Podroužkova;M
Barbořina; 
Hořínkova;M
Vrtná; 
Potoční; 
Vrublova;M
Borky; 
Kepkova;M
Rozdělená; 
Bohuslava Martinů; 
Alberta Kučery; 
Závoří; 
Pěší; 
Jiráskova;M
Přerušená; 
Tolstého;M
Slavíkova;M
Demlova;M
Přímá; 
Laudova;M
Šlejharova;M
Mahenova;M
Výstavní; 
Lachova;M
Balbínova;M
Jilemnického náměstí; 
Polákova;M
Halasova;M
Práce; 
Písečná; 
Dvorní; 
Mezi Lány; 
Šubertova;M
Čujkovova;M
náměstí Svatopluka Čecha; 
Dianina; 
Zeyerova;M
Měsíční; 
Startovní; 
Švabinského;M
Utvenkova;M
Hajnova;M
Josefa Dobeše; 
Martínkova;M
Dvořákova;M
Vaškova;M
Komerční; 
Gorochovova;M
Šaldova;M
Krylovova;M
Šalounova;M
Pelclova;M
Suvorovova;M
Edisonova;M
Gebauerova;M
Františka Formana; 
Holasova;M
Gollova;M
Dvořáčkova;M
Kolejní; 
Nová osada; 
Lužná; 
Hollarova;M
Příčná; 
Mánesova;M
Binarova;M
Čelakovského;M
Senovážná; 
Ševčenkova;M
Klášterní; 
Hečkova;M
Sarajevova;M
Suchá; 
Jaroňkova;M
Zalužanského;M
Viktora Huga; 
Špillarova;M
Preslova;M
Holubova;M
Nezvalovo náměstí; 
Paličkova;M
Marie Pujmanové;F
Janského;M
Krasnoarmejců; 
E. F. Buriana; 
Stavbařů; 
Potoky; 
Včelí; 
Vzdálená; 
Východní; 
Lumírova;M
Axmanova;M
Lechova;M
Polní osada; 
Družební; 
Lejskova;M
Kastelána Heřmana; 
Okolnice; 
Aloise Gavlase; 
Otova;M
Počáteční; 
Tvardkova;M
Sámova;M
Skrytá; 
Zukalova;M
Podsedliště; 
Kosá; 
Makarenkova;M
Hvězdná; 
Jindřichova;M
Strojní; 
Jana Maluchy; 
Závišova;M
Elzy Trioletové;F
náměstí Dr. E. Beneše; 
Kubelíkova;M
Březinova;M
Odbočná; 
Hradeckého;M
Pomezní; 
Prostřední; 
Glazkovova;M
Mojmírovců; 
Krčmarských; 
Ženíškova;M
Tvorkovských; 
Hormistrů; 
8. března; 
Střelniční; 
Jasinkova;M
Spojovací; 
Karla Hynka Máchy; 
Marešova;M
Ostravického;M
Čermákova;M
Staniční; 
Hraniční; 
Jestřábí; 
Květná; 
Bernátkova;M
Sládečkova;M
Petrovských; 
Kálalova;M
Puchmajerova;M
Rozcestí; 
Karla Tomana; 
Herodova;M
Provozní; 
Veverkova;M
Rezkova;M
Blokova;M
Zdeňka Chalabaly; 
Postranní; 
Vyhlídalova;M
Denisova;M
Zelná; 
Podzámčí; 
Havláskova;M
Úzká; 
Mezi Ploty; 
Ignáta Herrmanna; 
Fügnerova;M
Holečkova;M
Náprstkova;M
Těžní; 
Klímkova;M
Suchardova;M
Košňovského;M
Kubečkova;M
Dvouletky; 
Pohoří; 
Aloise Parmy; 
Zřídelní; 
Křivá; 
Antonína Poledníka; 
Kosmova;M
Kuršova;M
Jindřicha Šajnara; 
Aleše Hrdličky; 
Chamrádova;M
Krestova;M
Spojů; 
Ferdinanda Koláře; 
Abramovova;M
Lyčkova;M
Kopaniny; 
Kubalova;M
Adamusova;M
Kotíkova;M
Obilní; 
Vážní; 
Televizní; 
Blahoslavova;M
Nábřežní; 
Pátova;M
Jana Zrzavého;M
Podhájí; 
Sokolí; 
Škrobálkova;M
Koperníkova;M
Kordova;M
Žleby; 
Osadní; 
Kaminského;M
Horymírova;M
Karolíny Světlé; 
Jungmannova;M
Vršovců; 
Kabarova;M
Hornických učňů; 
Chopinova;M
Zolova;M
Včelínek; 
Ježkova;M
náměstí Antonie Bejdové;F
Terezy Novákové;F
Čs. exilu; 
Rosná; 
Leopolda Kříže; 
Horova;M
Stavební; 
Rušná; 
Čechovova;M
Zvoníčkova;M
Janovského;M
Dobrovského;M
Volná; 
Gončarovova;M
Nálepkovo náměstí; 
Oblá; 
Bartošova;M
Kobrova;M
Oty Pavla; 
Klikova;M
Pavlovova;M
Heritesova;M
Staňkova;M
Uhelná; 
Václavíkova;M
Krčínova;M
Výjezdní; 
26. dubna; 
Pražanova;M
Do Svahu; 
Plynární; 
1. května; 
náměstí Družby; 
Mezipolí; 
Reymontova;M
Kosmonautů; 
Budovcova;M
Přední; 
Michalské náměstí; 
Gvužďochova;M
Karla Svobody; 
Dlouhá; 
Drobná; 
Serafinova;M
Kasární; 
Červeného kříže; 
Bludná; 
Milana Fialy; 
Knejzlíkova;M
Svojsíkova;M
Spodní; 
Josefa Brabce; 
Zachalupní; 
Kukučínova;M
