Tolstého;M
Jánský vršek; 
Pavelkova;M
Řepná; 
Freiwaldova;M
Vlachova;M
Točitá; 
Bartoňkova;M
Manželů Lyčkových; 
Plynární; 
Galvaniho; 
Farského;M
Dlabačov; 
Květnového vítězství; 
Ostrovského;M
Švehlova;M
Výstupní; 
Kroupova;M
Siemensova;M
Chelčického;M
Pošepného náměstí; 
Jungmannovo náměstí; 
Heyrovského náměstí; 
Hanzlíkova;M
Koroptví; 
Smolkova;M
Šaldova;M
Klánova;M
Ústavní; 
Zapova;M
Nekvasilova;M
Vačkářova;M
Srnčí; 
Michelangelova;M
Mráčkova;M
Farní; 
Dalimilova;M
Řeporyjské náměstí; 
Bachova;M
Euklidova;M
bratří Dohalských; 
Kolektivní; 
Kanova;M
Parléřova;M
Bešťákova;M
Veletržní; 
Janderova;M
Lužní; 
Ostrovní; 
Varhulíkové;F
Dany Medřické; 
Zálužanského;M
Ibsenova;M
Kaizlovy sady; 
náměstí Josefa Machka; 
Líbalova;M
Závrchy; 
Smotlachova;M
Mezi chatami; 
Sládkovičova;M
Janouchova;M
Novomeského;M
Souběžná III; 
Jiránkova;M
Stachova;M
Rýznerova;M
Prouzova;M
Marvanova;M
Slibná; 
Knapova;M
Stýblova;M
Otavova;M
Mickiewiczova;M
Nikoly Vapcarova;M
Rozdělená; 
Kramperova;M
Zenklova;M
Stavbařů; 
Jana Karafiáta; 
Boční II; 
Myslbekova;M
Hajní; 
Vnější; 
Lisztova;M
Picassova;M
Navrátilova;M
Jižní náměstí; 
Michnovka; 
Hájčí; 
Sezimova;M
Seminární; 
Tatarkova;M
Stoupající; 
Mezilehlá; 
Husova;M
Týnská ulička; 
Severýnova;M
Kunratická spojka; 
Zimákova;M
Zadní; 
Křižovnické náměstí; 
Suppého;M
Renoirova;M
Reinerova;M
Randova;M
Nepomuckých; 
Sládkova;M
Lipové náměstí; 
Mařatkova;M
Průčelní; 
Boženy Stárkové;F
Do Dubče; 
Chlumčanského;M
Čiklova;M
Herálecká II; 
Socháňova;M
Podolské nábřeží; 
Vycpálkova;M
Klárov; 
Daškova;M
Lesní; 
Smetanovo nábřeží; 
Staré náměstí; 
Branaldova;M
Leopoldova;M
Kříženeckého náměstí; 
Jižní IX; 
náměstí Osvoboditelů; 
Pecharova;M
Dubečské Horky; 
Nákupní; 
Poláčkova;M
Souběžná I; 
Drahorádova;M
Lindnerova;M
Klostermannova;M
Severní II; 
Čápova;M
Bromova;M
Pacajevova;M
Kellnerova;M
Hamplova;M
Nezvalova;M
Písčitá; 
Velké Kunratické; 
Trní; 
Královny Žofie; 
Ellnerové;F
Jáchymova;M
Borošova;M
Türkova;M
Gutfreundova;M
náměstí Padlých; 
Kpt. Stránského;M
Před ústavem; 
Kostelní náměstí; 
Úvoz; 
Sechterova;M
Černá; 
Zálesí; 
Vacínova;M
Vladimírova;M
Chládkova;M
Pšenčíkova;M
Vaňkova;M
Truhlářova;M
Tomanova;M
Přípřežní; 
Malebná; 
Burianova;M
Cihelná; 
Sluneční; 
Zátopkova;M
Troilova;M
Radčina; 
Mezi rybníky; 
Babákova;M
Mrázkova;M
Archimédova;M
náměstí Jana Palacha; 
Jižní VI; 
Přerušená; 
Mylnerovka; 
Petržílkova;M
Hořejší nábřeží; 
Andělova;M
Pravoúhlá; 
Urubova;M
Kožíškova;M
Osetá; 
Štúrova;M
Koláčkova;M
Kovriginova;M
Provozní; 
Harlacherova;M
Kubaštova;M
Společná; 
Nová kolonie; 
Jírovcovo náměstí; 
Voskovcova;M
Vejražkova;M
Gogolova;M
Dřevná; 
Slavíkova;M
Jednořadá; 
Otrubova;M
Nekázanka; 
Havlínova;M
Starobylá; 
Fischlova;M
Jihozápadní V; 
Petra Rezka; 
Prokopova;M
náměstí Hrdinů; 
Objízdná; 
Rypkova;M
Preslova;M
Dražického;M
Červený Mlýn; 
Hybešova;M
Štiplova;M
Hubičkova;M
Do Svépravic; 
Bozděchova;M
Severozápadní II; 
Hábova;M
Muzejní; 
Stružky; 
Lužná; 
Před oborou; 
Papírníkova;M
